SM_Name,Customer_Name,Phone_Number
 NDIFON ISAIAH NTUI,CHILDREN DAY NURSERY SCHOOL,07047978657
 NDIFON ISAIAH NTUI,LORDES ACADEMY NURSERY AND PRIMARY SCHOOL,08035415912
 NDIFON ISAIAH NTUI,LIGHT WAY SECONDARY SCHOOL ,08063047235
 NDIFON ISAIAH NTUI,CHAINS NURSERY AND PRIMARY SCHOOL,07062484152
 NDIFON ISAIAH NTUI,SECRET HEART NURSREY AND PRIMARY SCHOOL,08161545331
 NDIFON ISAIAH NTUI,MANSON INTERNATIONAL SCHOOL,09013626330
 NDIFON ISAIAH NTUI,MORPHY HIGH PRIMARY AND NURSERY SCHOOL,08065117410
 NDIFON ISAIAH NTUI,ST JUDE NURSERY AND P;RIMARY SCHOOL,08068087894
 NDIFON ISAIAH NTUI,MATA DEI DEI,08032771113
 NDIFON ISAIAH NTUI,GODS GRACE INTERNATIONAL SCHOOL,08061330886
 NDIFON ISAIAH NTUI,FLOURISHES NURSERY AND PRIMARY SCHOOL,08135546865
 NDIFON ISAIAH NTUI,EMERALFIELD NURSERY AND PRIMARY SCHOOL,08108075238
 NDIFON ISAIAH NTUI,ST ANNE HIGH SCHOOL,08062628470
 NDIFON ISAIAH NTUI,PALM COURT NURSERY AND PRIMARY SCHOOL,08035517537
 NDIFON ISAIAH NTUI,B-BLESSED NURSERY AND PRIMARY SCHOOL,09012230953
 NDIFON ISAIAH NTUI,PRESTIGEHALI INYERNATIONAL SCHOOL,09037552641
 NDIFON ISAIAH NTUI,JULES FOUNDATTION PRE  SCHOOL,08130077431
 NDIFON ISAIAH NTUI,ETIM EKONG NURSERY AND PRIMARY SCHOOL ,08066342889
 NDIFON ISAIAH NTUI,SUGAR HILL ACADEMY N / P SCHOOL ,08145531270
 NDIFON ISAIAH NTUI,DANGLAD NURSERY/PRIMARY SCHOOL,08060240561
 NDIFON ISAIAH NTUI,FRIMO NURSERY / PRIMARY SCHOOL ,08038857719
 NDIFON ISAIAH NTUI,UNCLE EFFIONG FOUNDATION NPS ,09164778043
 NDIFON ISAIAH NTUI,LUTINA INTL SCHOOLS ,08036167873
 NDIFON ISAIAH NTUI,GOD'S OWN TRANSFORMATION SCHOOL,08030998388
 NDIFON ISAIAH NTUI,MORPH HIGH SECONDARY SCHOOL ,07042206382
 NDIFON ISAIAH NTUI,BLUE CHERRY ACADEMY NURSERY AND PRIMARY SCHOOL,08131971350
 NDIFON ISAIAH NTUI,NATIONAL COUNCIL OF WOMEN  SOC.NPS ,08134413112
 NDIFON ISAIAH NTUI,FUTURE AMBASSADOR,08064358837
 NDIFON ISAIAH NTUI,DESTINY ACADEMY ,07031022804
 NDIFON ISAIAH NTUI,ELEGANT KIDS ACADEMY,07035392669
 NDIFON ISAIAH NTUI,TENDERHEARTS SCHOOLS ,08027290990
 NDIFON ISAIAH NTUI,GREAT ROYAL CARE ACADEMY NURSERY AND PRIMARY SCHOOLS,09114300865
 NDIFON ISAIAH NTUI,APOSTOLIC KING SCHOOLS ,08062558329
 NDIFON ISAIAH NTUI,TOP EXQUISTE SECONADRY SCHOOL,08062841962
 NDIFON ISAIAH NTUI,HOLY CHILD SECONDARY SCHOO L(ISAIAH),08068438850
 NDIFON ISAIAH NTUI,MELODY SECONDARY SCHOOL,09074346649
 NDIFON ISAIAH NTUI,MAGDONA MOTESSORI NURSERY AND PRIMARY SCHOOL,08039265462
 NDIFON ISAIAH NTUI,LOURDES ACADEMY SECONDARY SCHOOL,08062155063
 NDIFON ISAIAH NTUI,CITIZEN ACADEMY NURSERY AND PRIMARY SCHOOL,08162499203
 NDIFON ISAIAH NTUI,MARY GOLD NURSERY AND PRIMARY SCHOOL,08184697240
 NDIFON ISAIAH NTUI,BLAZING FEED SCHOOLS ,08035679598
 NDIFON ISAIAH NTUI,LORENISSI CRECHE AND SCHOOLS,08107677439
 NDIFON ISAIAH NTUI,HEBREW CHILDREN NURSERY AND PRIMARY ACADEMY ,08064011244
 NDIFON ISAIAH NTUI,GIFTED INTERNATIONAL SECONDARY SCHOOL ,08054560645
 NDIFON ISAIAH NTUI,KIDS AND US NURSERY AND PRIMARY SCHOOL,08171382163
 NDIFON ISAIAH NTUI,JACK MEMORIAL,08063611063
 NDIFON ISAIAH NTUI,BRIDGE - END NURSERY AND PRIMARY SCHOOL ,08038305962
 NDIFON ISAIAH NTUI,REVON NURSERY PRIMARY SCHOOL ,090202243351
 NDIFON ISAIAH NTUI,OFFSPRING OF DAVID NURSERY AND PRIMARY SCHOOL,08032923315
 NDIFON ISAIAH NTUI,LEARN CITY NURSERY AND PRIMARY SCHOOL,08038409788
 NDIFON ISAIAH NTUI,ROYAL NURSERY AND PRIMARY SCHOOL (CALABAR),07030813337
 NDIFON ISAIAH NTUI,FAAN SECONDARY SCHOOL,07031516394
 NDIFON ISAIAH NTUI,PRESTIGIOUS CHILD MODEL N/P,08063076789
 NDIFON ISAIAH NTUI,NDIFON ISIAH NTUI ( CASH SALES  A/C ),080
 NDIFON ISAIAH NTUI,UTIB ABASI NURSERY AND PRIMARY SCHOOL,08130430271
 NDIFON ISAIAH NTUI,STAFF DEMONSTRATION SECONDARY SCHOOL (CALABAR),07039444518
 NDIFON ISAIAH NTUI,CHRIST ADVOCATE NURSERY AND PRIMARY SCHOOL,08137029802
 NDIFON ISAIAH NTUI,JUBILENT MONTESSOEI NURSERY AND PRIMARY SCHOOL,0903538820
 NDIFON ISAIAH NTUI,CHRISTIAN SCHOOLS NURSERY AND PRIMARY,07062484179
 NDIFON ISAIAH NTUI,VICTORY NURSERY AND PRIMARY SCHOOL ,08027468860
 NDIFON ISAIAH NTUI,NEW ERA SCHOOL,08032574175
 NDIFON ISAIAH NTUI,HILLCREST COLLEGE ,07030748861
 NDIFON ISAIAH NTUI,UNIVERSITY OF CALABAR DEMONSTRATION SECONDARY SCHOOL,08164983591
 NDIFON ISAIAH NTUI,EXCELLENCE LEADERSHIP ACADEMY,08154776364
 NDIFON ISAIAH NTUI,THE APOSTLE SCHOOL,08063176211
 NDIFON ISAIAH NTUI,ANCILA NURSERY AND PRIMARY SCHOOL,08067137665
 NDIFON ISAIAH NTUI,TREASURE CHILD NURSERY AND PRIMARY ,09039250913
 NDIFON ISAIAH NTUI,CHILON SECONDARY SCHOOL,08065667524
 NDIFON ISAIAH NTUI,KING OF GLORY NURSERY AND PRIMARY SCHOOL,07038637224
 NDIFON ISAIAH NTUI,DE-WIS NURSERY AND PRIMARY SCHOOL,07067043291
 NDIFON ISAIAH NTUI,AUNTY GRACE BLESSED INTERNATIONAL NURSERY AND PRIMARY SCHOOL,08087197164
 NDIFON ISAIAH NTUI,EMERALD CITADEL ACADEMY NURSERY/PRIMARY SCHOOL,08037940241
 NDIFON ISAIAH NTUI,LIGHT WAY NURSERY SCHOOL,08034806013
 NDIFON ISAIAH NTUI,KINGDOM HERITAGE MODEL N / P,08054119246
ABUH AMEH PETER,DIVINE GRACE ENABLING ACADEMY,07038505429
ABUH AMEH PETER,ASSABR PRIVATE SCHOOL,08031168864
ABUH AMEH PETER,AIRFORCE PRIMARY SCHOOL,08039736886
ABUH AMEH PETER,NURUDDEEN ACADEMY,08039219750
ABUH AMEH PETER,"BLESSED CHILD ACADEMY, JOS",08064130814
ABUH AMEH PETER,CALVERY COLLEGE,08034638981
ADEAGBO ADEREMI,"FEDERAL GOVERNMENT COLLEGE, KWALI",08032401126
ADEAGBO ADEREMI,TRAINING N/P SCH (C/O ADEREMI),08055759626
ATAME OGAR,ATAME OGAR ( CASH SALE A/C ),080
CHINEDU AKPUTA,METRO INTERNATIONAL SCHOOL,08031992565
CHINEDU AKPUTA,STARGATE EXCELLENT ACADEMY,09071729869
CHINEDU AKPUTA,ISLAMIC MODEL SCHOOL,07088220299
CHINEDU AKPUTA,JOSEPH JORIN,08164894020
CHINEDU AKPUTA,CREATIVE LEARNING INTERNATIONAL SCHOOL,08173631079
CHINEDU AKPUTA,MEROSA INTERNATIONAL(SECONDARY SCHOOL,0806330955
CHINEDU AKPUTA,DORBEU ACADEMY,07039279100
CHINEDU AKPUTA,PACE MARK INTERNATIONAL SCHOOL,08027543766
CHINEDU AKPUTA,SHINE STAR ALL SCHOOL,08036136603
CHINEDU AKPUTA,NEW PHASE ACADEMY,08064009286
CHINEDU AKPUTA,ROYAUTE ACADEMY,07057578223
CHINEDU AKPUTA,TOPHILL SCHOOLS ,09068028956
CHINEDU AKPUTA,HOLY ROSARY INTERNATIONAL SCHOOL,08039723391
CHINEDU AKPUTA,SPRING VALLEY ACADEMY,08074502838
CHINEDU AKPUTA,WESLEY ACADEMY,08067770737
CHINEDU AKPUTA,GOSHEN MONTESSORI SECONDARY SCHOOL,07032872083
CHINEDU AKPUTA,UNIQUE ROYAL SEED INTERNATIONAL SCHOOL,08061712474
CHINEDU AKPUTA,ZANARIA INTERNATIONAL SCHOOL,08033573367
CHINEDU AKPUTA,SUCCESSFUL NURSERY AND PRIMARY SCHOOL,08036164050
CHINEDU AKPUTA,BAPTIST COMPREHENSIVE ACADEMY,08038641866
CHINEDU AKPUTA,FOUNTAINS SCHOOL,07038861166
CHINEDU AKPUTA,CHAR RAH PRIME ACADEMY,08036521559
CHINEDU AKPUTA,"SYSTEM EDUCATION SCHOOL,KUBWA",08034500629
CHINEDU AKPUTA,WESLEY METHODIST SHCOOL,08030677048
CHINEDU AKPUTA,CEDAR ACADEMY SECONDARY SCHOOL,07065550350
CHINEDU AKPUTA,CEDER ACADEMY NURSERY AND PRIMARY SCHOOL,08066255143
CHINEDU AKPUTA,AFRICAN CHILD COLLEGE,08163850522
CHINEDU AKPUTA,CRYSTAL BRAIN SCHOOL,08030900361
CHINEDU AKPUTA,FAVOUR PALACE INTERNATIONAL SCHOOL,07051778978
CHINEDU AKPUTA,FORTVILLE ACADEMY,08061541436
CHINEDU AKPUTA,BENTLEY INTERNATIONAL SCHOOL,07067312336
CHINEDU AKPUTA,TOTAL CHILD ACADEMY,08106690117
CHINEDU AKPUTA,MATTHEW DANJUMA INTERNATIONAL SCHOOL,08091955510
CHINEDU AKPUTA,FOURSQUARE ACADEMY,08054536041
CHINEDU AKPUTA,BAYBOS HOME SCHOOL,08052952346
CHINEDU AKPUTA,ANGLICAN GIRLS GRAMMAR SCHOOL,080383538670
CHINEDU AKPUTA,START-RITE SCHOOL,07065636067
CHINEDU AKPUTA,HAYMARIS ACADEMY,08035957166
CHINEDU AKPUTA,GODS GRACE INTERNATIONAL SCHOOL ABUJA,08030490456
CHINEDU AKPUTA,TRUST ACADEMY,0890275400780
CHINEDU AKPUTA,GID-VIC INTERNATIONAL SCHOOL,08134771690
CHINEDU AKPUTA,CORNERSTONE MONTESSORI SCHOOL,08168164436
CHINEDU AKPUTA,WHITE PEARL INTERNATONAL SCHOOL,08184327746
CHINEDU AKPUTA,ST BATHOLOMEW,08065456042
CHINEDU AKPUTA,JEWEL MODEL SCHOOL,08065689840
CHINEDU AKPUTA,ST THERESA CATHOLIC SCHOOL,08147120502
CHINEDU AKPUTA,CATHEMA ACADEMY,09121623409
CHINEDU AKPUTA,DIVINO AMORE SCHOOL,07038880657
CHINEDU AKPUTA,FUTURE GATE INTERNATIONAL SCHOOL,07061686856
CHINEDU AKPUTA,WISDOMFIELD MODEL ACADEMY,08063547036
CHINEDU AKPUTA,USUJI INTERNATIONAL SCOL,07064420785
CHINEDU AKPUTA,FEDERAL GOVERNMENT COLLEGE KEFFI,08033872064
CHINEDU AKPUTA,BRIGHT WAY ACADEMY,07046309442
CHINEDU AKPUTA,ROYAL NURSEY AND PRIMARY SCHOOL,07065866046
CHINEDU AKPUTA,ROYAL COLLEGE (SECONDARY),08067770675
CHINEDU AKPUTA,ASCENT INT'L SCHOOL,08035903080
CHINEDU AKPUTA,GLORIOUS DESTINY INT'L SCHOOL, 08139729098
CHINEDU AKPUTA,DIVINE TOSGE INTERNATIONAL SCHOOL,080359233383
CHINEDU AKPUTA,GRACE OF GOD INTERNATIONAL SCHOOL,09135505474
CHINEDU AKPUTA,SAMUEL BILL SCHOOLS,07088191615
CHINEDU AKPUTA,ALL SAINTS NURSERY/PRIMARY/SECONDARY SCHOOL,07031131888
CHINEDU AKPUTA,BRIGHTER STEP ACADEMY,08136944097
CHINEDU AKPUTA,FOOTHOLD INTERNATIONAL,0901688858216
CHINEDU AKPUTA,BRIGHTER LIGHT PRIVTE SCHOOL,09063957118
CHINEDU AKPUTA,AL BUSHRAM INTERNATIONAL SCHOOL,08036339550
CHINEDU AKPUTA,FAITH ACADEMY (KUBWA),08036529669
CHINEDU AKPUTA,VICTORIA INTERNATIONAL SCHOOL,08069809388
CHINEDU AKPUTA,WESLEY METHODIST SCHOOL,08062963680
CHINEDU AKPUTA,HERITAGE FOUNTAIN SCHOOL,08072462231
CHINEDU AKPUTA,AILEON INTERNATIONAL SCHOOL,08094583546
CHINEDU AKPUTA,DAISIES INTERNATIONAL SCHOOL,07037103344
CHINEDU AKPUTA,"ROYAL KIDS INTERNATIONAL, GARKI",07036428412
CHINEDU AKPUTA,BRIGHTER LIGHT PRIVATE SCHOOL,08051365207
CHINEDU AKPUTA,DE KAPITAL ACADEMY,08066047767
CHINEDU AKPUTA,CREST INTERNATIONAL SCHOOL,08138043100
CHINEDU AKPUTA,CORNERSTONE ACADEMY,08035888244
CHINEDU AKPUTA,KING & QUEEN SCHOOL (FCT),08059788618
CHINEDU AKPUTA,TANZEEL INTERNATIONAL SCHOOL,0816798977
CHINEDU AKPUTA,BAPTIST ACADEMY,08066821207
CHINEDU AKPUTA,ST LUKES CATHOLIC SCHOOL,08060543566
CHINEDU AKPUTA,SAMUEL BILL INTERNTIONAL SCHOOL,07054912373
CHINEDU AKPUTA,ROYAL FAMILY,08187111069
CHINEDU AKPUTA,FUNTAJ ACADEMY,08088359905
CHINEDU AKPUTA,SUNRISE INTERNATIONAL SCHOOL,0903148000
CHINEDU AKPUTA,MEROSA INTERNATIONAL SCHOOL,08051055125
CHINEDU AKPUTA,UNITY HIGH SCHOOL,0805756882
CHINEDU AKPUTA,LOFT GROUND INTERNATIONAL SCHOOL,08181785566
CHINEDU AKPUTA,GLORIOUS SEDTINY ACADEMY(MARABA),08139729098
CHINEDU AKPUTA,REDEEMER TEAP SCHOOL (SECONDARY SCHOOL),09033645778
CHINEDU AKPUTA,HOPELAND ACADEMY (FCT),08069448075
CHINEDU AKPUTA,HAMPO ACADEMY,09124464474
CHINEDU AKPUTA,UNIQUE INTERNATIONAL SCHOOL,08030603115
CHINEDU AKPUTA, ANGEL SIGNATURE SCHOOL,07033860528
CHINEDU AKPUTA,GOLDEN TOWER,08111355769
CHINEDU AKPUTA,UNIQUE TRINITY ACADEMY,08063805138
CHINEDU AKPUTA,FEDESREK ACADEMY,07037095702
CHINEDU AKPUTA,"KINGDOM HERITAGE SCHOOL (KUBWA, ABUJA)",08166387366
CHINEDU AKPUTA,HENDON COLLEGE,08184490564
CHINEDU AKPUTA,WISDOM SPRING FOUNDATION ACADEMY,08039246668
CHINEDU AKPUTA,KIA LAKESIDE ACADEMY,08039681838
CHINEDU AKPUTA,LIFFEY VALLEY,08058525210
CHINEDU AKPUTA,FIRST EMMANUEL PRIVATE SCHOOL,08036048418
CHINEDU AKPUTA,IVORY TOWER INTERNATIONAL SCHOOL,08135851919
CHINEDU AKPUTA,FORDHAM INTEGRATED SCHOOL,08038123196
CHINEDU AKPUTA,ZESTY COLLEGE,08066335644
CHINEDU AKPUTA,FEDERAL GOVERNMENT COLLEGE APO,08168510492
CHINEDU AKPUTA,KILIMANJARO INTERNATIONAL SCHOOL ,080605462492
CHINEDU AKPUTA,CONVENANT FOUNDATION ACADEMY,07030842153
CHINEDU AKPUTA,GREAT LATO INTERNATIONAL SCHOOL,08063614882
CHINEDU AKPUTA,FEDERAL GOVERNMENT NURSERY/PRIMARY BWARI,08066528715
CHINEDU AKPUTA,ACCESS  INTERNATIONAL SCHOOL,08167631963
CHRISTOPHER NUHU ,CHRISTOPHER NUHU ( CASH SALES A/C ),080
CHRISTOPHER NUHU ,ABUJA INTERNATIONAL SCHOOL,09057731495
CHRISTOPHER NUHU ,FUNCARE ROYAL START ACADEMY,08032660814
CHRISTOPHER NUHU ,GLORIOUS DESTINY ACADEMY NURSERY AND PRIMARY SCHOOL,08065452118
CHRISTOPHER NUHU ,BJ SCHOOL,07063165225
CHRISTOPHER NUHU ,ELIS ANGELS MODEL SCHOOL,08182014465
CHRISTOPHER NUHU ,HHH FOUNDATION ACADEMY,08064870080
CHRISTOPHER NUHU ,SHIRLEY TREASURE ACADEMY,08164666347
CHRISTOPHER NUHU ,EFAB INTERNATIONAL SCHOOL,08174909071
CHRISTOPHER NUHU ,FRANKVILLE LEARNING ACADEMY,08060943957
CHRISTOPHER NUHU ,INTERNATIONAL COMMUNITY SCHOOL,07034756526
CHRISTOPHER NUHU ,OASIS INTERNATIONAL SCHOOL (SECONDARY),08039152515
CHRISTOPHER NUHU ,TREASURE KIDS ACADEMY (PRIMARY AND SECONDARY SCHOOL),08035455930
CHRISTOPHER NUHU ,SCHOLARS LAND ACADEMY,08033064866
CHRISTOPHER NUHU ,PRINCE AND PRINCESS ACADEMY,08036521559
CHRISTOPHER NUHU ,ROYAL TOUCH ACADEMY,08032435463
CHRISTOPHER NUHU ,ASCEND ROYAL ACADEMY,08032850317
CHRISTOPHER NUHU ,KINGS FAVOURITE SCHOOL(PRIMARY),08161508319
CHRISTOPHER NUHU ,KINGS COMPREHENSIVE SCHOOL(SECONDARY),08189400152
CHRISTOPHER NUHU ,REAL BASE INTERNATIONAL ACADEMY,07089020006
CHRISTOPHER NUHU ,AL-NOOR INTERNATIONAL SCHOOL,08059426003
CHRISTOPHER NUHU ,SAINT PETER ACADEMY (PRIMARY AND SECONDARY),08032926120
CHRISTOPHER NUHU ,OLIVE SHOT ACADEMY,08026735062
CHRISTOPHER NUHU ,JULIET ULTIMATE HEIGHT,08131361109
CHRISTOPHER NUHU ,ROYAL BRITISH INTERNATIONAL SCHOOL,08096287452
CHRISTOPHER NUHU ,STEADY FLOW INTERNATIONAL SCHOOL,08034517132
CHRISTOPHER NUHU ,LEADWAY BRISTISH PREPARATORY,08147277732
CHRISTOPHER NUHU ,GLORY INTERNATIONAL SCHOOL,08067138684
CHRISTOPHER NUHU ,SHALOM CHILDREN ACADEMY (PRIMARY AND SECONDARY),09162439798
CHRISTOPHER NUHU ,REEDEM HERITAGE ACADEMY,08033830428
CHRISTOPHER NUHU ,BRISTOL ACADEMY (PRIMARY AND SECONDARY),08034042086
CHRISTOPHER NUHU ,JESCARE INTERNATIONAL SCHOOL,08133770471
CHRISTOPHER NUHU ,BRITISH INTERNATIONAL SCHOOL,09082332222
CHRISTOPHER NUHU ,CARE AND CUDDLE SCHOOL (PRIMARY),08089394474
CHRISTOPHER NUHU ,OSCAR INTERNATIONAL ACADEMY,08156269397
CHRISTOPHER NUHU ,DOMINION INTERNATIONAL SCHOOL,08090860322
CHRISTOPHER NUHU ,HELINO INTERNATIONAL SCHOOL,08035926568
CHRISTOPHER NUHU ,FED,08032857759
CHRISTOPHER NUHU ,GLADVIEW MODEL ACADEMY,08109833696
CHRISTOPHER NUHU ,POTTER HERRITAGE SCHOOL,07068553369
CHRISTOPHER NUHU ,LELA BLOSSOM SCHOOLS,08106002211
CHRISTOPHER NUHU ,NURUL BAYAN INTERNATIONAL ACADEMY (ABUJA),08035507419
CHRISTOPHER NUHU ,TALENT INTERNATIONAL SCHOOL,08069418980
CHRISTOPHER NUHU ,EXCELLENT HAPPY DAY ACADEMY,08130607045
CHRISTOPHER NUHU ,BENCYCARE INTERNATIONAL SCHOOL(PRIMARY),08068640721
CHRISTOPHER NUHU ,ROYAL CREED ACADEMY,08034042086
CHRISTOPHER NUHU ,ROYAL CREED ACADEMY,08034593116
CHRISTOPHER NUHU ,ZEE PRAIZ INTERNATIONAL SCHOOL,08065595452
CHRISTOPHER NUHU ,ULTIMATE TRINITY MODEL SCHOOL,09080138622
CHRISTOPHER NUHU ,DIVINE BREED ACADEMY,08068572148
CHRISTOPHER NUHU ,OASISI INTERNATIONAL SCHOOL (PRIMARY),08033118530
CHRISTOPHER NUHU ,AIBAS ISLAMIC INTERNATIONAL SCHOOL,08103835694
CHRISTOPHER NUHU ,CLEAR HOPE FOUNDATION,08131361109
CHRISTOPHER NUHU ,MIDAMIC YOUNG INTERNATIONAL(PRIMARY AND SECONDARY),08032363367
CHRISTOPHER NUHU ,EXCELLENT GRADE ACADEMY(KARU),08076172444
CHRISTOPHER NUHU ,SKILLPATH ACADEMY,08023456222
CHRISTOPHER NUHU ,POLESTAR ACADEMY,08133492016
CHRISTOPHER NUHU ,JESSEVILLE ACADEMY,07064430477
CHRISTOPHER NUHU ,BLESSED ROYAL ACADEMY (PRIMARY AND SECONDARY),08134832240
CHRISTOPHER NUHU ,DATA ASSET TECHNOLOGY ACADEMY(PRIMARY AND SECONDARY),08063931888
CHRISTOPHER NUHU ,EL-CHARIS INTERNATIONAL SCHOOL,08064926219
CHRISTOPHER NUHU ,HAROLD CULTIS ACADEMY PRIMARY AND SECONDARY SCHOOL,07057243188
CHRISTOPHER NUHU ,LAURENT ANGELS MODEL ACADEMY,08033835880
CHRISTOPHER NUHU ,BROOKMAX ACADEMY (PRIMARY),07038252462
CHRISTOPHER NUHU ,JECKTEC ACADEMY,08036355134
CHRISTOPHER NUHU ,YUSSEL M CHRIS ACADEMY,09061111893
CHRISTOPHER NUHU ,BRIGHT SCHOLARS ACADEMY,08060558877
CHRISTOPHER NUHU ,JUEVET INTERNATIONAL SCHOOL,08108814259
CHRISTOPHER NUHU ,"SYSTEM EDUCATION SCHOOL, JABI",08036971734
CHRISTOPHER NUHU ,"POTTER'S HERITAGE ACADEMY, JABI",07068553369
CHRISTOPHER NUHU ,DESTINY CHILD ACADEMY (PRIMARY AND SECONDARY),08146046529
CHRISTOPHER NUHU ,GOD'S GRACE ACADEMY(PRIMARY),08134832240
CHRISTOPHER NUHU ,GREAT KIDS ACADEMY,08063866318
CHRISTOPHER NUHU ,ISBON INTERNATIONAL SCHOOL,08137478478
CHRISTOPHER NUHU ,CAPITAL SCIENCE INTERNATIONAL SCHOOL,0816119854
CHRISTOPHER NUHU ,KINGSVILLE SCHOOL(PRIMARY AND SECONDARY),08026557522
CHRISTOPHER NUHU ,LIGHT OF DAY ACADEMY,08146853944
