book_code,title,grade,price,subject,search_terms
GEN/P2/PRVE,PRY VERBAL REASONING BK 2,Primary 2,2150.0,🗣️ Verbal Reasoning,pry verbal reasoning bk 2 primary 2 🗣️ verbal reasoning
GEN/P3/PRVE,PRY VERBAL REASONING BK 3,Primary 3,2150.0,🗣️ Verbal Reasoning,pry verbal reasoning bk 3 primary 3 🗣️ verbal reasoning
GEN/P4/PRVE,PRY VERBAL REASONING BK 4,Primary 4,2150.0,🗣️ Verbal Reasoning,pry verbal reasoning bk 4 primary 4 🗣️ verbal reasoning
GEN/P5/PRVE,PRY VERBAL REASONING BK 5,Primary 5,2150.0,🗣️ Verbal Reasoning,pry verbal reasoning bk 5 primary 5 🗣️ verbal reasoning
GEN/P6/PRVE,PRY VERBAL REASONING BK 6,Primary 6,2150.0,🗣️ Verbal Reasoning,pry verbal reasoning bk 6 primary 6 🗣️ verbal reasoning
GEN/P1/HALE,HAPPY LEARNERS SKILLFUL WRITING BOOK 1,Primary 1,2100.0,✍️ Writing Skills,happy learners skillful writing book 1 primary 1 ✍️ writing skills
GEN/P2/HALE,HAPPY LEARNERS SKILLFUL WRITING BOOK 2,Primary 2,2100.0,✍️ Writing Skills,happy learners skillful writing book 2 primary 2 ✍️ writing skills
GEN/P3/HALE,HAPPY LEARNERS SKILLFUL WRITING BOOK 3,Primary 3,2100.0,✍️ Writing Skills,happy learners skillful writing book 3 primary 3 ✍️ writing skills
GEN/P1/HALE,HAPPY LEARNERS HEALTH HABITS BK 1,Primary 1,2300.0,🏥 Health Education,happy learners health habits bk 1 primary 1 🏥 health education
GEN/P2/HALE,HAPPY LEARNERS HEALTH HABITS BK 2,Primary 2,2300.0,🏥 Health Education,happy learners health habits bk 2 primary 2 🏥 health education
GEN/P3/HALE,HAPPY LEARNERS HEALTH HABITS BOOK 3,Primary 3,2300.0,🏥 Health Education,happy learners health habits book 3 primary 3 🏥 health education
GEN/P1/HALE,HAPPY LEARNERS SOCIAL HABITS BK 1,Primary 1,2300.0,🌍 Social Studies,happy learners social habits bk 1 primary 1 🌍 social studies
GEN/P2/HALE,HAPPY LEARNERS SOCIAL HABITS BK 2,Primary 2,2300.0,🌍 Social Studies,happy learners social habits bk 2 primary 2 🌍 social studies
GEN/P3/HALE,HAPPY LEARNERS SOCIAL HABITS BK 3,Primary 3,2300.0,🌍 Social Studies,happy learners social habits bk 3 primary 3 🌍 social studies
GEN/J1/JSIM,JSS IMPECCABLE ENGLISH BK 1,JSS 1,4400.0,📖 English Language,jss impeccable english bk 1 jss 1 📖 english language
GEN/J2/JSIM,JSS IMPECCABLE ENGLISH BK 2,JSS 2,4400.0,📖 English Language,jss impeccable english bk 2 jss 2 📖 english language
GEN/J3/JSIM,JSS IMPECCABLE ENGLISH BK 3,JSS 3,4400.0,📖 English Language,jss impeccable english bk 3 jss 3 📖 english language
GEN/J1/JSMA,JSS MATHEMATICS BK 1,JSS 1,4400.0,📐 Mathematics,jss mathematics bk 1 jss 1 📐 mathematics
GEN/J2/JSMA,JSS MATHEMATICS BK 2,JSS 2,4400.0,📐 Mathematics,jss mathematics bk 2 jss 2 📐 mathematics
GEN/J3/JSMA,JSS MATHEMATICS BK 3,JSS 3,4400.0,📐 Mathematics,jss mathematics bk 3 jss 3 📐 mathematics
GEN/J1/JSBA,JSS BASIC SCI. & TECH BK 1,JSS 1,3000.0,🔬 Basic Science & Technology,jss basic sci. & tech bk 1 jss 1 🔬 basic science & technology
GEN/J2/JSBA,JSS BASIC SCI. & TECH BK 2,JSS 2,3000.0,🔬 Basic Science & Technology,jss basic sci. & tech bk 2 jss 2 🔬 basic science & technology
GEN/J3/JSBA,JSS BASIC SCI. & TECH BK 3,JSS 3,3000.0,🔬 Basic Science & Technology,jss basic sci. & tech bk 3 jss 3 🔬 basic science & technology
GEN/J1/JSNA,JSS NATIONAL VALUES EDUCATION BK 1,JSS 1,3050.0,🏛️ National Values Education,jss national values education bk 1 jss 1 🏛️ national values education
GEN/J2/JSNA,JSS NATIONAL VALUES EDUCATION BK 2,JSS 2,3050.0,🏛️ National Values Education,jss national values education bk 2 jss 2 🏛️ national values education
GEN/J3/JSNA,JSS NATIONAL VALUES EDUCATION BK 3,JSS 3,3050.0,🏛️ National Values Education,jss national values education bk 3 jss 3 🏛️ national values education
GEN/J1/JSHI,JSS HISTORY BK 1,JSS 1,3000.0,📚 History,jss history bk 1 jss 1 📚 history
GEN/J2/JSHI,JSS HISTORY BK 2,JSS 2,3000.0,📚 History,jss history bk 2 jss 2 📚 history
GEN/J3/JSHI,JSS HISTORY BK 3,JSS 3,3000.0,📚 History,jss history bk 3 jss 3 📚 history
GEN/PPrimary/TAFO,TANGIYKA FOREST & STRANGE VIRUS,Primary,1500.0,📖 Primary Literature,tangiyka forest & strange virus primary 📖 primary literature
GEN/PPrimary/MITO,THE MISSING TOY,Primary,1500.0,📖 Primary Literature,the missing toy primary 📖 primary literature
GEN/PPrimary/RE,THE REWARD,Primary,1500.0,📖 Primary Literature,the reward primary 📖 primary literature
GEN/PPrimary/NECL,A NEW CLASS,Primary,1500.0,📖 Primary Literature,a new class primary 📖 primary literature
GEN/PPrimary/HOKI,HOPPY THE KIND FROG,Primary,1500.0,📖 Primary Literature,hoppy the kind frog primary 📖 primary literature
GEN/PPrimary/PRWH,PRACTICE WHAT YOU PREACH,Primary,1800.0,📖 Primary Literature,practice what you preach primary 📖 primary literature
